file_name,title,description,mode,application_deadline,urn_id,url,learning_outcomes,search_text
json1.json,"Games, Gamification, Serious Games and Accessibility","This thematic module focuses on visual accessibility in games and VR experiences. It briefly introduces basics of visual accessibility, and some of the needs of individuals with different visual needs. Next, the lecture provides two main discussion points; 1. how most games are visually inaccessible, and how some mainstream games are accidentally accessible to large extent, and, 2. how games, and especially VR, experiences can be very valuable and allow access to life experiences that visually impaired individuals can’t easily access such as diving, mountain climbing, or even being a sniper in an army.",Online,2025-05-31,7fa311df-8ed1-ef11-a72e-000d3a22dc2e,archive.eciu.eu/engage/7fa311df-8ed1-ef11-a72e-000d3a22dc2e,"['Designing games towards accessibility', 'Visual inaccessiblity of games']","games, gamification, serious games and accessibility this thematic module focuses on visual accessibility in games and vr experiences. it briefly introduces basics of visual accessibility, and some of the needs of individuals with different visual needs. next, the lecture provides two main discussion points; 1. how most games are visually inaccessible, and how some mainstream games are accidentally accessible to large extent, and, 2. how games, and especially vr, experiences can be very valuable and allow access to life experiences that visually impaired individuals can’t easily access such as diving, mountain climbing, or even being a sniper in an army. designing games towards accessibility visual inaccessiblity of games online"
json10.json,Exploring the diversity of alcoholic beverages in the world WS24_25,"This micromodule presents theoretical knowledge and supports the development of practical skills in the field of alcohol production, with particular emphasis on alcoholic beverages and their global socio-economical relevance, influence of the raw materials and production technology on beer flavour, sensory evaluation techniques in beer flavour assessment, the influence of grape varieties, yeast type, and maturation techniques on wine diversity, exploring wine regions, finding wine flaws. 

It contains sections specifically devoted to the topic of: beer production and styles; white wine, red wine, and orange wine production technology, as well as vodka, tequila, and whisky technologies.",Online,2024-12-08,7961d9a8-f823-ef11-840a-000d3a2a7e23,archive.eciu.eu/engage/7961d9a8-f823-ef11-840a-000d3a2a7e23,"['Learning Outcome 2', 'Learning Outcome 4', 'Learning Outcome 6', 'Learning Outcome 1', 'Learning Outcome 5', 'Learning Outcome 3']","exploring the diversity of alcoholic beverages in the world ws24_25 this micromodule presents theoretical knowledge and supports the development of practical skills in the field of alcohol production, with particular emphasis on alcoholic beverages and their global socio-economical relevance, influence of the raw materials and production technology on beer flavour, sensory evaluation techniques in beer flavour assessment, the influence of grape varieties, yeast type, and maturation techniques on wine diversity, exploring wine regions, finding wine flaws. 

it contains sections specifically devoted to the topic of: beer production and styles; white wine, red wine, and orange wine production technology, as well as vodka, tequila, and whisky technologies. learning outcome 2 learning outcome 4 learning outcome 6 learning outcome 1 learning outcome 5 learning outcome 3 online"
json100.json,Finnish 2,"This course is a continuation course after the basic course Finnish 1. The target level of the course is A1.3, functional elementary proficiency (CEFR application by Finnish National Agency for Education). The course consists of self-study modules in Moodle. In addition to that, there are optional online meetings to practise interaction. By the end of the course the student will have tools for simple interaction using basic phrases to following topics: family, hobbies and leisure, talking about studies, simple inquiries and announcements related to studying .

The prerequisite for this course is the previous course Finnish 1 or corresponding skills (CEFR level A1.2). This course is an online implementation consisting of different materials and activities. The teaching language is English.

The course material will open in Moodle on 7.1.2025, last day for submissions of tasks is 9.5.2025 and the material is available in Moodle until mid-June.",Online,2025-03-02,2c0fbd8b-259c-ef11-8a69-6045bd9c8def,archive.eciu.eu/engage/2c0fbd8b-259c-ef11-8a69-6045bd9c8def,"['Writing short notes on common topics', 'Communicating in basic everyday situations', 'Understanding familiar words and common phrases in simple and clear communication']","finnish 2 this course is a continuation course after the basic course finnish 1. the target level of the course is a1.3, functional elementary proficiency (cefr application by finnish national agency for education). the course consists of self-study modules in moodle. in addition to that, there are optional online meetings to practise interaction. by the end of the course the student will have tools for simple interaction using basic phrases to following topics: family, hobbies and leisure, talking about studies, simple inquiries and announcements related to studying .

the prerequisite for this course is the previous course finnish 1 or corresponding skills (cefr level a1.2). this course is an online implementation consisting of different materials and activities. the teaching language is english.

the course material will open in moodle on 7.1.2025, last day for submissions of tasks is 9.5.2025 and the material is available in moodle until mid-june. writing short notes on common topics communicating in basic everyday situations understanding familiar words and common phrases in simple and clear communication online"
json101.json,Finnish 1,"This course is an introduction to the Finnish language. The target level of the course is A1.2, developing elementary proficiency (CEFR application by Finnish National Agency for Education). The course consists of self-study modules in Moodle. In addition to that, there are optional online meetings to practise interaction. By the end of the course the student will have tools for simple interaction using basic phrases to following topics: greetings, meeting people, introductions, vocabulary related to food and beverages, expressions of time.  

No previous knowledge of the Finnish language is needed. This course is an online implementation consisting of different materials and activities. The teaching language is English.

The course material will open in Moodle on 7.1.2025, last day for submissions of tasks is 9.5.2025 and the material is available in Moodle until mid-June.",Online,2025-03-02,d52e25b0-259c-ef11-8a69-6045bd9c8def,archive.eciu.eu/engage/d52e25b0-259c-ef11-8a69-6045bd9c8def,"['Communicating in basic everyday situations', 'Understanding words and short phrases', 'Writing with simple vocabulary', 'Pronouncing clearly']","finnish 1 this course is an introduction to the finnish language. the target level of the course is a1.2, developing elementary proficiency (cefr application by finnish national agency for education). the course consists of self-study modules in moodle. in addition to that, there are optional online meetings to practise interaction. by the end of the course the student will have tools for simple interaction using basic phrases to following topics: greetings, meeting people, introductions, vocabulary related to food and beverages, expressions of time.  

no previous knowledge of the finnish language is needed. this course is an online implementation consisting of different materials and activities. the teaching language is english.

the course material will open in moodle on 7.1.2025, last day for submissions of tasks is 9.5.2025 and the material is available in moodle until mid-june. communicating in basic everyday situations understanding words and short phrases writing with simple vocabulary pronouncing clearly online"
json102.json,Resilient Coastal Cities,"## **Resilient cities**

Resilient cities are those that can withstand, adapt to, and recover from environmental, social, and economic shocks and stresses while maintaining essential functions, structures, and identities. Resilient cities prioritize sustainable and inclusive development, leveraging their assets and resources to build and maintain physical, social, and economic resilience. This includes investing in infrastructure, social services, emergency preparedness and response, and community engagement to build strong and adaptive communities that can thrive in situations of adversity. Resilient cities aim to ensure the safety, security, and well-being of their residents while promoting a sustainable and equitable future for all.",Blended,2024-08-31,1314e3c5-8cdf-ee11-904c-6045bd9c8eb7,archive.eciu.eu/engage/1314e3c5-8cdf-ee11-904c-6045bd9c8eb7,"['Identify the major challenges of coastal cities', 'Apply acquired knowledge and skills']","resilient coastal cities ## **resilient cities**

resilient cities are those that can withstand, adapt to, and recover from environmental, social, and economic shocks and stresses while maintaining essential functions, structures, and identities. resilient cities prioritize sustainable and inclusive development, leveraging their assets and resources to build and maintain physical, social, and economic resilience. this includes investing in infrastructure, social services, emergency preparedness and response, and community engagement to build strong and adaptive communities that can thrive in situations of adversity. resilient cities aim to ensure the safety, security, and well-being of their residents while promoting a sustainable and equitable future for all. identify the major challenges of coastal cities apply acquired knowledge and skills blended"
json103.json,Accessible Documents,"During this module, the student will modify their own document (thesis, publication, course work…) to make it more accessible. The module teaches how to make documents accessible and what kind of methods are available. The module introduces for example how to make accessible tables, images, footnotes, and charts.",Online,2025-05-31,02a44f05-99d1-ef11-a72e-6045bdf3b44b,archive.eciu.eu/engage/02a44f05-99d1-ef11-a72e-6045bdf3b44b,"['Creating accessible documents', 'Accessible publishing', 'Different documentation tools and evaluation methods']","accessible documents during this module, the student will modify their own document (thesis, publication, course work…) to make it more accessible. the module teaches how to make documents accessible and what kind of methods are available. the module introduces for example how to make accessible tables, images, footnotes, and charts. creating accessible documents accessible publishing different documentation tools and evaluation methods online"
json104.json,Web Accessibility I (Technical),"This thematic modules Web accessibility I and II introduces guidelines and other standards related to web accessibility, such as Web Content Accessibility Guidelines (WCAG). The first module explains the web accessibility principles (POUR), but focuses on technical specifications, primarily explaining the WAI-ARIA, the Accessible Rich Internet Applications suite of web standards.",Online,2025-05-31,b52b4acc-9ad1-ef11-a72e-6045bdf3b44b,archive.eciu.eu/engage/b52b4acc-9ad1-ef11-a72e-6045bdf3b44b,"['Creating accessible Web documents', 'Understanding how to meet the requirement by maximizing compatibility']","web accessibility i (technical) this thematic modules web accessibility i and ii introduces guidelines and other standards related to web accessibility, such as web content accessibility guidelines (wcag). the first module explains the web accessibility principles (pour), but focuses on technical specifications, primarily explaining the wai-aria, the accessible rich internet applications suite of web standards. creating accessible web documents understanding how to meet the requirement by maximizing compatibility online"
json105.json,Pathway of Disruptive Innovation,"Disruptive technologies have dramatically reshaped the landscape of go-to-market strategies in the last decade. Emerging technologies, such as AI, IoT, and blockchain, have not only accelerated the pace of innovation but have also altered the fundamental approaches to bringing products and services to market. In the recent past, traditional strategies often followed a linear path, where companies meticulously planned product development, market entry, and scaling processes. Today, with the advent of disruptive technologies, this linear approach is no longer sufficient. Instead, we witness a more dynamic, agile, and customer-centric approach.

One significant change is the speed of adaptation. Disruptive technologies require companies to swiftly pivot and experiment with their strategies. They encourage a 'fail-fast' mentality, where iterations and learning from mistakes are integral to success. Moreover, data-driven decision-making is now at the core of modern go-to-market strategies. The rise of digital platforms and e-commerce has also transformed the reach and accessibility of markets. Companies can now tap into global audiences with minimal physical presence. This shift is forcing traditional brick-and-mortar businesses to reimagine their models.

The target audience for this micro-module primarily includes individuals such as students, researchers, and entrepreneurs who possess backgrounds outside of business administration or business development. This micro-module is particularly well-suited for those with engineering backgrounds, but it is equally open to individuals from natural and social sciences. Disruptive innovations often find applications across various fields, making this micro-module relevant and beneficial for a wide range of professionals.",Online,2025-02-23,bcf7a248-7ffe-44a6-bb3a-614e75d332f7,archive.eciu.eu/engage/bcf7a248-7ffe-44a6-bb3a-614e75d332f7,"['Skills to understand the innovation', 'Knowledge about innovation uncertainties', 'Skills to lead a team', 'Knowledge about innovative business models']","pathway of disruptive innovation disruptive technologies have dramatically reshaped the landscape of go-to-market strategies in the last decade. emerging technologies, such as ai, iot, and blockchain, have not only accelerated the pace of innovation but have also altered the fundamental approaches to bringing products and services to market. in the recent past, traditional strategies often followed a linear path, where companies meticulously planned product development, market entry, and scaling processes. today, with the advent of disruptive technologies, this linear approach is no longer sufficient. instead, we witness a more dynamic, agile, and customer-centric approach.

one significant change is the speed of adaptation. disruptive technologies require companies to swiftly pivot and experiment with their strategies. they encourage a 'fail-fast' mentality, where iterations and learning from mistakes are integral to success. moreover, data-driven decision-making is now at the core of modern go-to-market strategies. the rise of digital platforms and e-commerce has also transformed the reach and accessibility of markets. companies can now tap into global audiences with minimal physical presence. this shift is forcing traditional brick-and-mortar businesses to reimagine their models.

the target audience for this micro-module primarily includes individuals such as students, researchers, and entrepreneurs who possess backgrounds outside of business administration or business development. this micro-module is particularly well-suited for those with engineering backgrounds, but it is equally open to individuals from natural and social sciences. disruptive innovations often find applications across various fields, making this micro-module relevant and beneficial for a wide range of professionals. skills to understand the innovation knowledge about innovation uncertainties skills to lead a team knowledge about innovative business models online"
json106.json,Introduction to Biomaterials ​,"Biomaterials play an essential role in improving healthcare and quality of life. This micro-module, Introduction to Biomaterials, provides a clear and accessible pathway to understanding inorganic biomaterials and their applications in medicine. Whether you are a student of engineering, medicine, or another related field, this course offers an opportunity to explore how materials science contributes to solving real-world medical challenges.

The micro-module focuses on key concepts, including the structure, properties, and applications of inorganic biomaterials such as metals, ceramics, and polymers. You will learn how these materials interact with the human body and how they are used in medical devices, implants, and emerging technologies like nanomedicine. Over six weeks, we will guide you step-by-step through topics like biomaterial classification, their physical and chemical properties, and the factors influencing their compatibility with living tissues.

Our goal is to provide you with the knowledge and skills needed to evaluate biomaterials for specific applications. By completing this course, you will gain practical experience in selecting and analysing materials, understanding their limitations, and exploring future developments in the field.

This micro-module connects scientific principles with healthcare solutions. By joining, you will build a solid foundation that can help you in academic studies or professional practice. Be part of a learning experience that equips you to contribute to advancements in medical technology and to make a difference in people’s lives.",Online,2025-02-23,fb00149e-8ce8-44cc-9482-637f4d4cec78,archive.eciu.eu/engage/fb00149e-8ce8-44cc-9482-637f4d4cec78,"['Performance Evaluation', 'Interdisciplinary Knowledge', 'Biomaterials Selection', 'Independent Learning']","introduction to biomaterials ​ biomaterials play an essential role in improving healthcare and quality of life. this micro-module, introduction to biomaterials, provides a clear and accessible pathway to understanding inorganic biomaterials and their applications in medicine. whether you are a student of engineering, medicine, or another related field, this course offers an opportunity to explore how materials science contributes to solving real-world medical challenges.

the micro-module focuses on key concepts, including the structure, properties, and applications of inorganic biomaterials such as metals, ceramics, and polymers. you will learn how these materials interact with the human body and how they are used in medical devices, implants, and emerging technologies like nanomedicine. over six weeks, we will guide you step-by-step through topics like biomaterial classification, their physical and chemical properties, and the factors influencing their compatibility with living tissues.

our goal is to provide you with the knowledge and skills needed to evaluate biomaterials for specific applications. by completing this course, you will gain practical experience in selecting and analysing materials, understanding their limitations, and exploring future developments in the field.

this micro-module connects scientific principles with healthcare solutions. by joining, you will build a solid foundation that can help you in academic studies or professional practice. be part of a learning experience that equips you to contribute to advancements in medical technology and to make a difference in people’s lives. performance evaluation interdisciplinary knowledge biomaterials selection independent learning online"
json107.json,Entity Relationship Modelling,"This micro-module will introduce the students to the concepts of entity relationship modeling. After completing the micro-module, students will be able to analyze and define entities that compose a chosen domain and develop an entity relationship model using Unified Modeling Language. The developed models can be used as a generalized list of concepts of a domain or be used as a basis for database development.",Online,2024-10-01,37b70ad3-ecb2-4127-9c47-647890720638,archive.eciu.eu/engage/37b70ad3-ecb2-4127-9c47-647890720638,"['Domain analysis', 'Model development']","entity relationship modelling this micro-module will introduce the students to the concepts of entity relationship modeling. after completing the micro-module, students will be able to analyze and define entities that compose a chosen domain and develop an entity relationship model using unified modeling language. the developed models can be used as a generalized list of concepts of a domain or be used as a basis for database development. domain analysis model development online"
